"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"58965312","2023-09-29T23:20:00.000","2023-09-30T12:20:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11211","497 UNION AVENUE","UNION AVENUE","BROOKLYN QUEENS EP ET 32 B  WB","JACKSON ST",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T12:20:00.000","01 BROOKLYN","3023150026","BROOKLYN","997592","199976","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.71555460310349","-73.95187148570918","
,  
(40.71555460310349, -73.95187148570918)"
"58956035","2023-09-29T23:17:00.000","2023-09-30T09:15:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11361","39-17 215 PLACE","215 PLACE","39 AVE","40 AVE",,,"ADDRESS","BAYSIDE",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T09:15:00.000","11 QUEENS","4062480001","QUEENS","1048506","218317","ONLINE","Unspecified","QUEENS",,,,,,,,"40.7656726287737","-73.76803504508366","
,  
(40.7656726287737, -73.76803504508366)"
"58966874","2023-09-29T23:17:00.000","2023-09-30T08:10:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11222","726 HUMBOLDT STREET","HUMBOLDT STREET","NASSAU AVE","NORMAN AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T08:10:00.000","01 BROOKLYN","3026540056","BROOKLYN","999334","203959","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.72648417652491","-73.94557865509591","
,  
(40.72648417652491, -73.94557865509591)"
"58963531","2023-09-29T23:14:00.000","2023-10-03T15:30:00.000","DEP","Department of Environmental Protection","Sewer","Catch Basin Clogged/Flooding (Use Comments) (SC)",,"11692","239 BEACH BREEZE PLACE","BEACH BREEZE PLACE","AQUATIC DR","BEACH BREEZE DR",,,"ADDRESS","ARVERNE",,,"Closed",,"NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.","2023-10-03T15:30:00.000","14 QUEENS","4160900034","QUEENS","1038976","154191","ONLINE","Unspecified","QUEENS",,,,,,,,"40.58972589939895","-73.8029590612194","
,  
(40.58972589939895, -73.8029590612194)"
"58966875","2023-09-29T23:08:00.000","2023-09-30T00:50:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11229","3010 GERRITSEN AVENUE","GERRITSEN AVENUE","LOIS AVE","DEAD END",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T00:50:00.000","15 BROOKLYN","3088451900","BROOKLYN","1006608","153429","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.5877751075393","-73.91950243900395","
,  
(40.5877751075393, -73.91950243900395)"
"58963688","2023-09-29T23:05:00.000","2023-09-30T04:00:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11421","88-22 85 STREET","85 STREET","88 AVE","88 RD",,,"ADDRESS","WOODHAVEN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T04:00:00.000","09 QUEENS","4089160039","QUEENS","1023577","190723","ONLINE","Unspecified","QUEENS",,,,,,,,"40.69007997590451","-73.85819010081225","
,  
(40.69007997590451, -73.85819010081225)"
"58962157","2023-09-29T22:56:00.000","2023-09-30T04:40:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11694","109-32 ROCKAWAY BEACH BOULEVARD","ROCKAWAY BEACH BOULEVARD","BEACH 109 ST","BEACH 110 ST",,,"ADDRESS","FAR ROCKAWAY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T04:40:00.000","14 QUEENS","4161660073","QUEENS","1031125","151168","ONLINE","Unspecified","QUEENS",,,,,,,,"40.5814733771142","-73.83124747559792","
,  
(40.5814733771142, -73.83124747559792)"
"58956036","2023-09-29T22:56:00.000","2023-09-30T13:15:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11220","441 BAY RIDGE AVENUE","BAY RIDGE AVENUE","4 AVE","5 AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T13:15:00.000","10 BROOKLYN","3058640068","BROOKLYN","978062","170284","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.63406465145726","-74.022294675616","
,  
(40.63406465145726, -74.022294675616)"
"58966876","2023-09-29T22:50:00.000","2023-09-30T19:10:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11694","306 BEACH  102 STREET","BEACH  102 STREET","NYCTA SUBWAY","BEACH CHANNEL DR",,,"ADDRESS","FAR ROCKAWAY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T19:10:00.000","14 QUEENS","4161570029","QUEENS","1033295","152342","ONLINE","Unspecified","QUEENS",,,,,,,,"40.58468402788436","-73.82342685999265","
,  
(40.58468402788436, -73.82342685999265)"
"58960735","2023-09-29T22:38:00.000","2023-09-30T08:20:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"11224","3703 NAUTILUS AVENUE","NAUTILUS AVENUE","DEAD END","SEA GATE AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection inspected the condition and determined that it is outside its jurisdiction.","2023-09-30T08:20:00.000","13 BROOKLYN","3070030041","BROOKLYN","983334","149195","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.576181765432025","-74.00329738603602","
,  
(40.576181765432025, -74.00329738603602)"
"58956037","2023-09-29T22:38:00.000","2023-09-30T02:00:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"10469","2729 PEARSALL AVENUE","PEARSALL AVENUE","ALLERTON AVE","ARNOW AVE",,,"ADDRESS","BRONX",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T02:00:00.000","11 BRONX","2045240068","BRONX","1025200","254793","ONLINE","Unspecified","BRONX",,,,,,,,"40.86592755232667","-73.85194723069253","
,  
(40.86592755232667, -73.85194723069253)"
"58962158","2023-09-29T22:32:00.000","2023-09-30T11:30:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11378","65-20 JAY AVENUE","JAY AVENUE","65 PL","66 ST",,,"ADDRESS","MASPETH",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T11:30:00.000","05 QUEENS","4023790018","QUEENS","1012010","204134","PHONE","Unspecified","QUEENS",,,,,,,,"40.72693381074416","-73.89984440733953","
,  
(40.72693381074416, -73.89984440733953)"
"58956038","2023-09-29T22:32:00.000","2023-09-30T12:30:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11435","83-35 139 STREET","139 STREET","83 AVE","MAIN ST",,,"ADDRESS","JAMAICA",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T12:30:00.000","08 QUEENS","4096650001","QUEENS","1034321","198834","ONLINE","Unspecified","QUEENS",,,,,,,,"40.71228846297417","-73.81938792221477","
,  
(40.71228846297417, -73.81938792221477)"
"58966877","2023-09-29T22:26:00.000","2023-09-30T21:10:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11691","29-10 FABER TERRACE","FABER TERRACE","BEND","GRANADA PL",,,"ADDRESS","FAR ROCKAWAY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T21:10:00.000","14 QUEENS","4156840088","QUEENS","1049273","161542","PHONE","Unspecified","QUEENS",,,,,,,,"40.60983327714139","-73.765814121416","
,  
(40.60983327714139, -73.765814121416)"
"58962235","2023-09-29T22:20:00.000","2023-10-02T07:37:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"10306","140 HAVEN AVENUE","HAVEN AVENUE","ADAMS AVE","HUNTER AVE",,,"ADDRESS","STATEN ISLAND",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-10-02T07:37:00.000","02 STATEN ISLAND","5036790020","STATEN ISLAND","956951","150217","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.57894496994225","-74.09827410955283","
,  
(40.57894496994225, -74.09827410955283)"
"58963689","2023-09-29T22:20:00.000","2023-09-30T00:30:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11223","1613 WEST   13 STREET","WEST   13 STREET","AVENUE P","KINGS HWY",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T00:30:00.000","11 BROOKLYN","3066190073","BROOKLYN","988089","160415","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.60697763243549","-73.98617412199809","
,  
(40.60697763243549, -73.98617412199809)"
"58956039","2023-09-29T22:17:00.000","2023-09-30T01:05:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"10304","311 GORDON STREET","GORDON STREET","LAUREL AVE","OSGOOD AVE",,,"ADDRESS","STATEN ISLAND",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T01:05:00.000","01 STATEN ISLAND","5005600047","STATEN ISLAND","961037","164923","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.6193215849607","-74.08361539597753","
,  
(40.6193215849607, -74.08361539597753)"
"58960640","2023-09-29T22:08:00.000","2023-09-30T19:20:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11694","304 BEACH  102 STREET","BEACH  102 STREET","ROCKAWAY FRWY","BEACH CHANNEL DR",,,"ADDRESS","FAR ROCKAWAY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T19:20:00.000","14 QUEENS","4161570028","QUEENS","1033297","152336","ONLINE","Unspecified","QUEENS",,,,,,,,"40.58466754804359","-73.82341970310229","
,  
(40.58466754804359, -73.82341970310229)"
"58965313","2023-09-29T22:08:00.000","2023-09-30T01:30:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"10306","210 BARBARA STREET","BARBARA STREET","WILDER AVE","ANDREWS AVE",,,"ADDRESS","STATEN ISLAND",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T01:30:00.000","03 STATEN ISLAND","5044160066","STATEN ISLAND","946567","146519","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.56875663892781","-74.13563497383285","
,  
(40.56875663892781, -74.13563497383285)"
"58966951","2023-09-29T21:56:00.000","2023-09-30T08:15:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"11224","3837 MAPLE AVENUE","MAPLE AVENUE","SEA GATE AVE","HIGHLAND AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection inspected the condition and determined that it is outside its jurisdiction.","2023-09-30T08:15:00.000","13 BROOKLYN","3069570056","BROOKLYN","982302","150318","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.579264012675424","-74.00701266859319","
,  
(40.579264012675424, -74.00701266859319)"
"58963532","2023-09-29T21:56:00.000","2023-09-30T12:40:00.000","DEP","Department of Environmental Protection","Sewer","Catch Basin Clogged/Flooding (Use Comments) (SC)",,"10036","629 WEST   46 STREET","WEST   46 STREET","11 AVE","PEDESTRIAN OVPS",,,"ADDRESS","NEW YORK",,,"Closed",,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.","2023-09-30T12:40:00.000","04 MANHATTAN","1010940017","MANHATTAN","985047","217502","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.76366914470393","-73.99712291005008","
,  
(40.76366914470393, -73.99712291005008)"
"58955921","2023-09-29T21:53:00.000","2023-09-30T12:55:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11234","2151 EAST   64 STREET","EAST   64 STREET","AVENUE U","STRICKLAND AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T12:55:00.000","18 BROOKLYN","3084650056","BROOKLYN","1008826","163561","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.615579503471196","-73.91147991159369","
,  
(40.615579503471196, -73.91147991159369)"
"58956054","2023-09-29T21:53:00.000","2023-10-01T12:25:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"11231",,,,,"KING STREET","VAN BRUNT STREET","INTERSECTION","BROOKLYN",,,"Closed",,"NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.","2023-10-01T12:25:00.000","06 BROOKLYN",,"BROOKLYN","981010","186434","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.67839443105709","-74.0116811189583","
,  
(40.67839443105709, -74.0116811189583)"
"58962063","2023-09-29T21:53:00.000","2023-09-30T11:25:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11218","426 CONEY ISLAND AVENUE","CONEY ISLAND AVENUE","FRIEL PL","CHURCH AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T11:25:00.000","12 BROOKLYN","3053310060","BROOKLYN","992255","175141","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.64739461933601","-73.97115311321568","
,  
(40.64739461933601, -73.97115311321568)"
"58960664","2023-09-29T21:50:00.000","2023-10-01T12:15:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"11231",,,,,"CONOVER STREET","SULLIVAN STREET","INTERSECTION","BROOKLYN",,,"Closed",,"NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.","2023-10-01T12:15:00.000","06 BROOKLYN",,"BROOKLYN","980498","186543","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.67869340917858","-74.01352708483384","
,  
(40.67869340917858, -74.01352708483384)"
"58963586","2023-09-29T21:47:00.000","2023-09-30T18:10:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11691","27-12 DEERFIELD ROAD","DEERFIELD ROAD","BEACH 27 ST","BEACH 28 ST",,,"ADDRESS","FAR ROCKAWAY",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T18:10:00.000","14 QUEENS","4157910022","QUEENS","1050665","157015","ONLINE","Unspecified","QUEENS",,,,,,,,"40.59739730630375","-73.76084525288583","
,  
(40.59739730630375, -73.76084525288583)"
"58965210","2023-09-29T21:44:00.000","2023-09-30T01:25:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11231","80 PIONEER STREET","PIONEER STREET","RICHARDS ST","VAN BRUNT ST",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T01:25:00.000","06 BROOKLYN","3005310031","BROOKLYN","981532","186320","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.67808170251611","-74.0097991149441","
,  
(40.67808170251611, -74.0097991149441)"
"58957532","2023-09-29T21:44:00.000","2023-09-30T07:50:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11218","29 EAST   10 STREET","EAST   10 STREET","CATON AVE","CHURCH AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T07:50:00.000","14 BROOKLYN","3050710062","BROOKLYN","992427","175257","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.647712857081686","-73.97053315196666","
,  
(40.647712857081686, -73.97053315196666)"
"58965211","2023-09-29T21:41:00.000","2023-09-29T21:55:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11234","2411 MILL AVENUE","MILL AVENUE","MAYFAIR DR N","E 60 PL",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-09-29T21:55:00.000","18 BROOKLYN","3086540013","BROOKLYN","1009122","162059","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.61145599957939","-73.91041928495382","
,  
(40.61145599957939, -73.91041928495382)"
"58957533","2023-09-29T21:38:00.000","2023-09-29T21:50:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11229","9 LOIS AVENUE","LOIS AVENUE","GAIN CT","NOEL AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-09-29T21:50:00.000","15 BROOKLYN","3088561658","BROOKLYN","1005903","152960","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.58648954670118","-73.9220422166634","
,  
(40.58648954670118, -73.9220422166634)"
"58962064","2023-09-29T21:35:00.000","2023-09-29T21:45:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11234","2023 EAST   71 STREET","EAST   71 STREET","AVENUE T","VETERANS AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.","2023-09-29T21:45:00.000","18 BROOKLYN","3084120031","BROOKLYN","1009616","165504","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.62091040562134","-73.9086271191233","
,  
(40.62091040562134, -73.9086271191233)"
"58959012","2023-09-29T21:32:00.000","2023-09-30T12:30:00.000","DEP","Department of Environmental Protection","Sewer","Sewer Backup (Use Comments) (SA)",,"11229","9 LOIS AVENUE","LOIS AVENUE","GAIN CT","NOEL AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.","2023-09-30T12:30:00.000","15 BROOKLYN","3088561658","BROOKLYN","1005902","152960","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.586489549143884","-73.92204581698401","
,  
(40.586489549143884, -73.92204581698401)"
"58960665","2023-09-29T21:32:00.000","2023-10-01T13:05:00.000","DEP","Department of Environmental Protection","Sewer","Street Flooding (SJ)",,"11215","260 13 STREET","13 STREET","4 AVE","5 AVE",,,"ADDRESS","BROOKLYN",,,"Closed",,"NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.","2023-10-01T13:05:00.000","06 BROOKLYN","3010340033","BROOKLYN","987305","182315","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.667088766176576","-73.98898772539224","
,  
(40.667088766176576, -73.98898772539224)"
