"Unnamed: 0","annotation_id","annotator","choice","created_at","id","image","labels","lead_time","q1","q2","response_1","response_2","sentiment_1","sentiment_2","updated_at"
122438,20665,"1","Drivable road","2024-07-13T01:21:27.813551Z",10,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a864ef34a448260e5300e45c24770d88.jpg","",0.804,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation that would indicate flooding.",0,0,"2024-07-13T01:21:27.813571Z"
150517,21016,"1","Drivable road","2024-07-13T02:38:18.270241Z",11,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_75067dc05b4d12c335242cb39bbdafea.jpg","",3.79,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of puddles and debris.",1,1,"2024-07-13T02:38:18.270260Z"
58022,20819,"1","Drivable road","2024-07-13T02:16:33.400031Z",12,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3790d14cd77a0bced85c0fb047a6cffa.jpg","",0.886,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers, indicating a response to the flooding.",1,1,"2024-07-13T02:16:33.400053Z"
119265,20770,"1","Flooded road","2024-07-13T02:15:02.152652Z",13,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e58b0234ff06c88a6baff3d124b797f0.jpg","",5.433,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a traffic cone, which is typically used to warn drivers of hazardous conditions.",1,1,"2024-07-13T02:15:02.152673Z"
82424,20422,"1","Flooded road","2024-07-13T01:11:59.990528Z",14,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c5d9a5a8ccafe79291bbf0b59bf00de5.jpg","",0.953,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires being partially submerged.",1,1,"2024-07-13T01:11:59.990549Z"
88731,21192,"1","Drivable road","2024-07-13T02:54:04.398341Z",15,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c3f86eeb8ecef9446cf0e1e2d9202dfd.jpg","",0.804,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation on the streets or sidewalks.",0,0,"2024-07-13T02:54:04.398361Z"
42477,20303,"1","Flooded road","2024-07-13T01:04:42.772380Z",16,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_18b195c66aba86adebca78a82a080213.jpg","",3.741,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, likely due to heavy rainfall. The water level is high enough to cover the lower parts of the vehicles and the pedestrian walkway, indicating significant rainfall or a possible overflow of a nearby waterway.",1,1,"2024-07-13T01:04:42.772402Z"
94137,20663,"1","Flooded road","2024-07-13T01:21:25.272504Z",17,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_1775592f72239ca1648d101fdfcc9f0f.jpg","",1.075,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the significant splashes as they move through it.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of vehicles with their headlights on, indicating reduced visibility.",1,1,"2024-07-13T01:21:25.272526Z"
116548,20965,"1","Flooded road","2024-07-13T02:32:32.066666Z",18,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_011ab18a632670c8da85dfd665a19c5a.jpg","",3.627,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a hazardous condition.",1,1,"2024-07-13T02:32:32.066686Z"
78706,20637,"1","Flooded road","2024-07-13T01:20:37.042440Z",19,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_44c110d8cf63e972eaa7be3bb3e6202c.jpg","",0.825,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles navigating through it.",1,1,"2024-07-13T01:20:37.042461Z"
80367,20937,"1","Flooded road","2024-07-13T02:26:42.788609Z",20,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_aedc1281b8e248d5ff26488d14c39bcb.jpg","",1.924,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",1,1,"2024-07-13T02:26:42.788631Z"
77591,20507,"1","Drivable road","2024-07-13T01:15:19.126293Z",21,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b0b56d5bb957f954d967560ce215f3a4.jpg","",0.778,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image is not flooded. The water on the road appears to be a result of recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T01:15:19.126315Z"
30811,20648,"1","Drivable road","2024-07-13T01:20:58.604751Z",22,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_95630143d62697d2f236c49e2a28c546.jpg","",2.045,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, which is evident from the submerged traffic cones and the depth of the water reaching the wheels of the cars.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the presence of traffic cones, which are typically used to indicate hazardous conditions.",1,1,"2024-07-13T01:20:58.604772Z"
80906,20371,"1","Flooded road","2024-07-13T01:09:07.852273Z",23,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bd925c501da7c89dd30128257a5a3929.jpg","",1.217,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the cars and the significant splashes as vehicles pass through.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a traffic cone, which is typically used to warn drivers of road hazards.",1,1,"2024-07-13T01:09:07.852297Z"
85750,21255,"1","Flooded road","2024-07-13T02:59:10.058335Z",24,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_fefe86c8cad1909a7cf0bf04683be52f.jpg","",1.141,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant depth that can pose significant risks to vehicles and drivers.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",1,1,"2024-07-13T02:59:10.058355Z"
17123,21087,"1","Drivable road","2024-07-13T02:45:05.165099Z",25,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9799bc84c5c54927c6a75906eedd0c40.jpg","",0.94,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image is not flooded. The road appears to be dry, and there are no visible signs of water accumulation on the pavement.",0,0,"2024-07-13T02:45:05.165119Z"
22099,20882,"1","Flooded road","2024-07-13T02:23:25.200951Z",26,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3a8d681773328eae21168023343dd5d7.jpg","",1.011,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",1,1,"2024-07-13T02:23:25.200973Z"
9845,20852,"1","Drivable road","2024-07-13T02:18:51.058459Z",27,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_513e24a12dc4bc71979a8150837c1764.jpg","",1.378,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","The street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, as evidenced by the wet surfaces and the reflections of lights on the pavement. There are no signs of standing water that would indicate flooding, such as puddles or water accumulation against curbs. The vehicles are driving on the road without any visible water obstructions, and the reflections on the road surface suggest that the water is not deep enough to impede traffic.",0,0,"2024-07-13T02:18:51.058479Z"
88272,20315,"1","Flooded road","2024-07-13T01:05:41.072594Z",28,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5fa4fd9a78905da9327f7d4b755512c8.jpg","",1.049,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the street, which is indicative of significant flooding.","Yes, the street in the image is flooded, with water reaching up to the wheels of the cars.",1,1,"2024-07-13T01:05:41.072614Z"
4301,20747,"1","Drivable road","2024-07-13T02:13:01.778441Z",29,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_93ed60f323108bef0b58d414707cf6ca.jpg","",1.991,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T02:13:01.778462Z"
72581,20321,"1","Drivable road","2024-07-13T01:05:55.258721Z",30,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_75a87a892780b66ab95c41b6380b53ee.jpg","",1.509,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires.",1,1,"2024-07-13T01:05:55.258741Z"
100515,21260,"1","Drivable road","2024-07-13T03:00:03.077930Z",31,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_47ef0dac2508b98b2056291ecdcc33b2.jpg","",1.373,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the submerged traffic cones.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a hazardous condition.",1,1,"2024-07-13T03:00:03.077954Z"
14963,20262,"1","Drivable road","2024-07-13T00:52:09.084064Z",32,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f3e9d0daddf827e780e511534e7caf2f.jpg","",4.059,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a barrier to prevent vehicles from entering the flooded area.",1,1,"2024-07-13T00:52:09.084085Z"
63144,20786,"1","Drivable road","2024-07-13T02:15:29.525367Z",33,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_24ab720d3c5b9966f8bf04b1ed76ea3b.jpg","",0.957,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image is not flooded. The road appears to be dry, and there are no visible signs of water accumulation on the pavement.",0,0,"2024-07-13T02:15:29.525388Z"
108178,20565,"1","Drivable road","2024-07-13T01:17:43.236724Z",34,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c742c3b76c783c0291dce02643bc3913.jpg","",0.804,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation on the pavement.",0,0,"2024-07-13T01:17:43.236744Z"
90003,20586,"1","Drivable road","2024-07-13T01:18:35.026054Z",35,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5806845ce09122f78c4e15605592920a.jpg","",1.657,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the car and the significant amount of water spray being kicked up by the vehicle's movement.","Yes, the street appears to be flooded, as evidenced by the water level reaching the wheels of the car and the presence of traffic cones and barriers, which are typically used to warn drivers of such hazards.",1,1,"2024-07-13T01:18:35.026076Z"
48166,20591,"1","Flooded road","2024-07-13T01:18:43.128258Z",36,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c75ded31c4c163c396b55645b8de4645.jpg","",1.134,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching up to the wheels of the car.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the car's surface.",1,1,"2024-07-13T01:18:43.128277Z"
13551,20362,"1","Drivable road","2024-07-13T01:07:47.943998Z",37,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a1991ab2d682a6daba50ed1cde96988f.jpg","",0.85,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and dry, with no signs of water accumulation or puddles that would indicate flooding.",0,0,"2024-07-13T01:07:47.944021Z"
101399,20465,"1","Drivable road","2024-07-13T01:13:36.824230Z",38,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_cbab77b3466450ab49d4653d0d8ce2bf.jpg","",0.878,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and the vehicles are driving on the wet surface without any visible signs of flooding.",0,0,"2024-07-13T01:13:36.824251Z"
7617,20602,"1","Drivable road","2024-07-13T01:18:59.488908Z",39,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2b626faea3308adb043b254d439511fe.jpg","",0.822,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation on the road or the sidewalks.",0,0,"2024-07-13T01:18:59.488927Z"
13104,20784,"1","Drivable road","2024-07-13T02:15:25.402914Z",40,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_cb40f654830c29575b644664a29b9fd0.jpg","",0.841,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and dry, and there are no signs of water accumulation on the streets or sidewalks.",0,0,"2024-07-13T02:15:25.402934Z"
149870,20292,"1","Drivable road","2024-07-13T01:03:56.636286Z",41,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c70cbb3217d8126bd9d1043394622f40.jpg","",0.832,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation that would indicate flooding.",0,0,"2024-07-13T01:03:56.636307Z"
79672,21077,"1","Drivable road","2024-07-13T02:44:04.787685Z",42,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9cebdcb84cbb12b265474c4032ba3d50.jpg","",1.132,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T02:44:04.787707Z"
3051,20531,"1","Drivable road","2024-07-13T01:15:56.397107Z",43,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_1e78dae65909dad0a61a60ea16cb5842.jpg","",0.926,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T01:15:56.397130Z"
78169,21121,"1","Flooded road","2024-07-13T02:48:10.417734Z",44,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_46cf4c5a4ad80fc353804548dec86496.jpg","",2.124,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires being partially submerged.",1,1,"2024-07-13T02:48:10.417754Z"
138796,20624,"1","Drivable road","2024-07-13T01:20:14.072234Z",45,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2f5beb4615f8efb363f4dda2596e88f1.jpg","",0.988,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the reflections on the car's windshield.",0,1,"2024-07-13T01:20:14.072254Z"
21358,20954,"1","Drivable road","2024-07-13T02:31:28.267461Z",46,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_589c00e0cd973acc666406cd28b11f84.jpg","",1.08,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","The street in the image does not appear to be flooded. There are no visible signs of water accumulation on the road surface, and the vehicles are parked without any apparent difficulty. The presence of puddles and wet surfaces suggests recent rainfall, but the water levels are not high enough to indicate flooding.",0,0,"2024-07-13T02:31:28.267482Z"
91534,20820,"1","Drivable road","2024-07-13T02:16:40.541827Z",47,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5f3b26d47f198bf293eae01f01972269.jpg","",1.177,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image shows significant standing water on the road, which could be more than a foot deep in some areas, indicating severe flooding conditions.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the presence of a school bus navigating through the water.",1,1,"2024-07-13T02:16:40.541847Z"
4497,21222,"1","Drivable road","2024-07-13T02:55:29.221818Z",48,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0b65f90e18f850db00182cfb91100e42.jpg","",0.923,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, as evidenced by the wet surfaces and the presence of puddles.",0,0,"2024-07-13T02:55:29.221839Z"
15636,20953,"1","Drivable road","2024-07-13T02:31:26.649735Z",49,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5ecc9d3f1475aa7d746e72104b0716c9.jpg","",191.761,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road surface and the visible waterline on the side of the road.",1,1,"2024-07-13T02:31:26.649756Z"
69115,20351,"1","Drivable road","2024-07-13T01:07:23.225988Z",50,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d09c9b4a978a84acaea239704d46c7d2.jpg","",1.946,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the streets, which is evident from the submerged vehicles and the depth of the water reaching the pedestrian's legs.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the reflections on the surface.",1,1,"2024-07-13T01:07:23.226007Z"
90287,20805,"1","Drivable road","2024-07-13T02:16:06.281574Z",51,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b0170237dc9ab5f5aa798ef3a8d07c0f.jpg","",3.816,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, which is a significant amount of water accumulation that can cause significant disruptions to traffic and pose safety risks.","Yes, the street is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers to redirect traffic.",1,1,"2024-07-13T02:16:06.281597Z"
46518,21051,"1","Drivable road","2024-07-13T02:41:47.367580Z",52,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c7a4a130328d06704341996130ee992c.jpg","",0.905,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation that would indicate flooding.",0,0,"2024-07-13T02:41:47.367601Z"
35630,21142,"1","Flooded road","2024-07-13T02:49:35.865220Z",53,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b066d39da241033e294ddc4688be27aa.jpg","",1.455,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the splashes visible around the vehicles.",1,1,"2024-07-13T02:49:35.865241Z"
