,image_path,q1,q2,response_1,response_2,Unnamed: 0.1,sentiment_1,sentiment_2,frame_id,,frame_url,camera_heading,captured_at,timezone_offset,h3_index_res12,thumbnail_url,direction,frame_quality,frame_context,gps_info.longitude,gps_info.latitude,osm_info.osm_node_id_from,osm_info.osm_node_id_to,osm_info.road_type,h3_12,h3_index_res06,geometry
6379,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_35584f71d0bb189e686bd7f23f807574.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street in the image is flooded, with water covering the road and reaching the wheels of the cars.",,1,1,nlbx_35584f71d0bb189e686bd7f23f807574,11042,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/498e7/fod_79F8D75C-F838-4BB8-AF5B-C44C3C48FFAF.jpg,120.75,1695993877649,-14400,631243951181539327,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/498e7/fod_79F8D75C-F838-4BB8-AF5B-C44C3C48FFAF.jpg,SOUTH_EAST,0.8388667106628418,DAYLIGHT,-73.990957,40.676505,10046355198,7410184360,RESIDENTIAL,6.312439511815393e+17,604222353471176703,POINT (986758.3101851192 185745.70775657528)
6943,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_20e6eacab6d1afafa780435869b2533c.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is a significant depth for flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the splashes around the vehicles.",,1,1,nlbx_20e6eacab6d1afafa780435869b2533c,29729,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/43890/fod_88B1393B-C482-4B73-8088-E571DDF3449B.jpg,0.0,1695989873688,-14400,631243950370642431,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/43890/fod_88B1393B-C482-4B73-8088-E571DDF3449B.jpg,UNKNOWN_HEADING,0.8611190319061279,DAYLIGHT,-73.97044,40.606653,42516930,42470974,RESIDENTIAL,6.312439503706424e+17,604222352665870335,POINT (992457.9255210588 160297.94417902408)
7868,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_93c2b01b00eb963a4531dfe56dabe551.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a closed-off area.",,1,1,nlbx_93c2b01b00eb963a4531dfe56dabe551,20353,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/cc93f/fod_F438E938-B271-4F5C-9ED5-DC36E9321D67.jpg,86.125,1696012421463,-14400,631243934997488127,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/cc93f/fod_F438E938-B271-4F5C-9ED5-DC36E9321D67.jpg,EAST,0.819109320640564,DAYLIGHT,-73.787377,40.644612,8873712164,8873712165,MOTORWAY_LINK,6.312439349974881e+17,604222337365049343,POINT (1043255.283891301 174197.78956112103)
8597,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6d7a495cad941417448a9f93a7632ebb.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of barriers to prevent vehicles from passing through.",,1,1,nlbx_6d7a495cad941417448a9f93a7632ebb,708,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/2f58e/fod_B26880D4-8454-4E34-9132-4DDDCEA050B3.jpg,348.75,1696008390417,-14400,631243934828798975,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/2f58e/fod_B26880D4-8454-4E34-9132-4DDDCEA050B3.jpg,NORTH,0.7841097116470337,DAYLIGHT,-73.72659,40.657178,42904323,42904320,TERTIARY,6.31243934828799e+17,604222337096613887,POINT (1060110.005333195 178822.73562773073)
8807,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_51cd26bc9d600bcd71d8e7bc09400b9c.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a barricade to prevent vehicles from entering the flooded area.",,1,1,nlbx_51cd26bc9d600bcd71d8e7bc09400b9c,12852,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/3f063/fod_B39725DB-3D22-4C48-8662-07A27F17B753.jpg,298.3448486328125,1696002508735,-14400,631243949787861503,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/3f063/fod_B39725DB-3D22-4C48-8662-07A27F17B753.jpg,NORTH_WEST,0.699856162071228,DAYLIGHT,-74.00835,40.741309,10168276337,4599130018,RESIDENTIAL,6.312439497878615e+17,604222352128999423,POINT (981936.0663810584 209355.77438010485)
9492,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_00d443219e7fbc89f021f5ed18ffb65e.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicle and the fact that the water level is higher than the vehicle's undercarriage.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a vehicle navigating through it.",,1,1,nlbx_00d443219e7fbc89f021f5ed18ffb65e,30274,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/da220/fod_C9A6289C-91A5-492D-8B81-EB94AF17532F.jpg,241.83196596740763,1695992993973,-14400,631243950338271743,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/da220/fod_C9A6289C-91A5-492D-8B81-EB94AF17532F.jpg,SOUTH_WEST,0.6415141820907593,DAYLIGHT,-73.999756,40.596487,598784403,598784404,MOTORWAY_LINK,6.312439503382717e+17,604222352665870335,POINT (984317.7865372747 156592.79494450332)
10528,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_520c5fcb760facc819409dd3593e9759.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the presence of a fire hydrant partially submerged.",,1,1,nlbx_520c5fcb760facc819409dd3593e9759,24110,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/f6300/fod_1DC79C97-969D-4CBC-9F82-CF126DF2690E.jpg,171.50845336914062,1695990767727,-14400,631243950375764991,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/f6300/fod_1DC79C97-969D-4CBC-9F82-CF126DF2690E.jpg,SOUTH,0.9552258253097534,DAYLIGHT,-73.970306,40.621872,6908907637,9928488442,RESIDENTIAL,6.31243950375765e+17,604222352665870335,POINT (992493.2444340965 165842.64608785853)
12125,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ab7ccbc06fe4a7b793177eacb3e49aeb.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for drivers and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles driving through it.",,1,1,nlbx_ab7ccbc06fe4a7b793177eacb3e49aeb,21570,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/3d90e/fod_B9300EBE-D0FD-4A3A-9893-FB33CCE608C5.jpg,6.814701557159424,1696002644005,-14400,631243921439165439,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/3d90e/fod_B9300EBE-D0FD-4A3A-9893-FB33CCE608C5.jpg,NORTH,0.7818872928619385,DAYLIGHT,-73.975627,40.796942,587812664,9736435075,MOTORWAY_LINK,6.312439214391654e+17,604222323809058815,POINT (990998.2750832321 229625.543691869)
12564,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0bb0a5cf4292aff14aade0565d68c765.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the fact that the water level is higher than the pedestrian's legs.","Yes, the street in the image is flooded, with water covering the road and vehicles partially submerged.",,1,1,nlbx_0bb0a5cf4292aff14aade0565d68c765,9633,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/bccff/fod_8D6415D3-4DC2-4319-8C04-7A2651043994.jpg,233.01094839415515,1695997886750,-14400,631243950338216959,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/bccff/fod_8D6415D3-4DC2-4319-8C04-7A2651043994.jpg,SOUTH_WEST,0.8147627115249634,DAYLIGHT,-73.999561,40.596528,42469053,598784403,MOTORWAY_LINK,6.31243950338217e+17,604222352665870335,POINT (984371.9402097652 156607.73268332635)
13023,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c8d2d6d222cf1601df620e44a1a3abfa.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the street, indicating significant flooding.","Yes, the street in the image is flooded, with water covering the road and reaching the base of the trees and the lower levels of the houses.",,1,1,nlbx_c8d2d6d222cf1601df620e44a1a3abfa,1428,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/8f4ca/fod_F0A8C6AD-245E-4115-8282-5692611DB90E.jpg,166.25,1696007929418,-14400,631243934828506623,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/8f4ca/fod_F0A8C6AD-245E-4115-8282-5692611DB90E.jpg,SOUTH,0.7486749291419983,DAYLIGHT,-73.727148,40.658693,42852156,42813673,TERTIARY,6.312439348285066e+17,604222337096613887,POINT (1059953.464641459 179374.20700499215)
13678,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4443715110974db9f8f11bc051040e49.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the bus.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a school bus and other vehicles navigating through the water.",,1,1,nlbx_4443715110974db9f8f11bc051040e49,6558,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/c5b8f/fod_36801098-5308-448D-8952-40B3511CD3A0.jpg,301.25,1696010049531,-14400,631243919472760831,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/c5b8f/fod_36801098-5308-448D-8952-40B3511CD3A0.jpg,NORTH_WEST,0.7690144181251526,DAYLIGHT,-73.891532,40.877796,3096657905,3096657928,RESIDENTIAL,6.312439194727608e+17,604222321795792895,POINT (1014245.85188943 259101.28599353725)
13751,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_220880f1413409eeb84a8a8a2b715303.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, with water covering the road and reaching the wheels of the vehicles.",,1,1,nlbx_220880f1413409eeb84a8a8a2b715303,1748,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/ac6c0/fod_C5096764-AE4C-4DCB-AA91-BD8A82E4684E.jpg,356.55534198997566,1695991095063,-14400,631243950906948607,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/ac6c0/fod_C5096764-AE4C-4DCB-AA91-BD8A82E4684E.jpg,NORTH,0.6444672346115112,DAYLIGHT,-73.919728,40.642869,2847312571,5488761564,SECONDARY,6.312439509069486e+17,604222353202741247,POINT (1006526.9838285425 173501.27411185473)
14993,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bcabb35e87b41618849c68a858266e25.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for drivers and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the splashes from the vehicles.",,1,1,nlbx_bcabb35e87b41618849c68a858266e25,65,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/5633e/fod_171BA045-232B-40F1-91D5-856993472FBE.jpg,260.7584199431577,1696011361126,-14400,631243919347344383,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/5633e/fod_171BA045-232B-40F1-91D5-856993472FBE.jpg,WEST,0.7833135724067688,DAYLIGHT,-73.786841,40.789357,3789751265,42798329,MOTORWAY,6.312439193473444e+17,604222321661575167,POINT (1043275.6688446507 226933.03680560424)
15514,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6a8d1fff5c267f39891ccd7fc9acbc8c.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the street, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",,1,1,nlbx_6a8d1fff5c267f39891ccd7fc9acbc8c,35335,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/c04ac/fod_F6F2DD19-5021-4A58-BF02-EADD1CFA562A.jpg,146.75,1695992581991,-14400,631243923138481151,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/c04ac/fod_F6F2DD19-5021-4A58-BF02-EADD1CFA562A.jpg,SOUTH_EAST,0.618425726890564,DAYLIGHT,-73.791899,40.713832,9910632452,42806893,RESIDENTIAL,6.312439231384812e+17,604222325419671551,POINT (1041940.4510955516 199413.5575412997)
15631,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_25f99bf1d3a8dd095d1dbff485c3c5b9.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a stop sign partially submerged.",,1,1,nlbx_25f99bf1d3a8dd095d1dbff485c3c5b9,17308,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/bd2bd/fod_B2233776-58B6-48C6-A85B-717A93951100.jpg,349.7180571994332,1695990897632,-14400,631243922596697599,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/bd2bd/fod_B2233776-58B6-48C6-A85B-717A93951100.jpg,NORTH,0.9156314730644226,DAYLIGHT,-73.835235,40.671601,2791759926,7877025834,UNCLASSIFIED,6.312439225966976e+17,604222324882800639,POINT (1029955.6606083815 184001.9853643384)
