"annotation_id","annotator","choice","created_at","id","image","labels","lead_time","q1","q2","response_1","response_2","sentiment_1","sentiment_2","updated_at"
21568,"1","Drivable road","2024-07-13T03:22:11.801093Z",10,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5a8d88bbffab5b1ef403e35b387f43a3.jpg","",1.458,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","The street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, as evidenced by the wet surfaces and the presence of puddles. There is no visible water accumulation that would suggest flooding.",0,0,"2024-07-13T03:22:11.801114Z"
21305,"1","Drivable road","2024-07-13T03:08:43.079489Z",11,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_cd243b5cf84c604c59c3257895b0f330.jpg","",0.919,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation on the pavement.",0,0,"2024-07-13T03:08:43.079508Z"
21409,"1","Flooded road","2024-07-13T03:16:53.003066Z",12,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b2f120bbce32ac83d113eb7cdc802026.jpg","",0.925,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is causing significant traffic disruptions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires.",1,1,"2024-07-13T03:16:53.003086Z"
22436,"1","Flooded road","2024-07-13T03:55:40.040932Z",13,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ca6fd229519a1e5288df2b6f907f7408.jpg","",2.005,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the bus.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles navigating through it.",1,1,"2024-07-13T03:55:40.040952Z"
22347,"1","Drivable road","2024-07-13T03:52:33.707151Z",14,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7f6b69d192090b94f0b31853afc02950.jpg","",0.879,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a traffic barrier indicating a closed road.",1,1,"2024-07-13T03:52:33.707172Z"
22461,"1","Flooded road","2024-07-13T03:56:41.535595Z",15,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_907c53b13958c2c45dd8b776f92d68ad.jpg","",0.709,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is causing significant disruption to the traffic flow.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the splashes from the vehicles' tires.",1,1,"2024-07-13T03:56:41.535615Z"
22228,"1","Flooded road","2024-07-13T03:47:25.614972Z",16,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c166ae0fb9f9db90756979771e851975.jpg","",0.687,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the splashes of water that are visible around the tires.","Yes, the street is flooded, as evidenced by the water covering the road and the splashes of water visible on the vehicle's windshield.",1,1,"2024-07-13T03:47:25.614993Z"
21858,"1","Flooded road","2024-07-13T03:35:06.900950Z",17,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_99d746bef75db5f4e299fa51363da8ac.jpg","",0.675,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the street, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",1,1,"2024-07-13T03:35:06.900971Z"
22664,"1","Flooded road","2024-07-13T04:05:03.773442Z",18,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f97b2b8068a168ed178d36430d1115f2.jpg","",1.242,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires.",1,1,"2024-07-13T04:05:03.773462Z"
22259,"1","Flooded road","2024-07-13T03:49:09.094414Z",19,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a95da84f2bffc51235b5c344d72251ad.jpg","",15.236,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the streets, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the bus.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles navigating through it.",1,1,"2024-07-13T03:49:09.094434Z"
21427,"1","Flooded road","2024-07-13T03:17:34.527935Z",20,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9a6f3c6e517d88bb30cf0c8c771c5237.jpg","",5.0,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections of the vehicles' lights on the wet surface.",1,1,"2024-07-13T03:17:34.527953Z"
22095,"1","Drivable road","2024-07-13T03:42:24.433417Z",21,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9cd7d0bc2ca1937e3116478f6608ab93.jpg","",1.179,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the roadway, indicating significant flooding.","Yes, the street in the image appears to be flooded, as evidenced by the water covering the road surface and the reflections visible on the wet pavement.",1,1,"2024-07-13T03:42:24.433436Z"
21707,"1","Flooded road","2024-07-13T03:28:54.768216Z",22,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9c49a07cff79c03d8ff29f4e6dae06b9.jpg","",8.58,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles driving through it.",1,1,"2024-07-13T03:29:04.207336Z"
21470,"1","Drivable road","2024-07-13T03:19:03.486586Z",23,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b9e38f65f3d3f16d12cb4dc46538dc34.jpg","",3.13,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the streets, indicating significant flooding.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the reflections on the surface.",1,1,"2024-07-13T03:19:03.486605Z"
21481,"1","Flooded road","2024-07-13T03:19:22.089311Z",24,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8d503ffe4aa71bd83d873a3220673358.jpg","",2.125,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of vehicles navigating through it.",1,1,"2024-07-13T03:19:22.089331Z"
21298,"1","Drivable road","2024-07-13T03:08:28.713061Z",25,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b19a52b4beeea1d84d1502c5c8de66bc.jpg","",1.042,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image is not flooded. The road appears dry, and there are no signs of water accumulation on the pavement.",0,0,"2024-07-13T03:08:28.713081Z"
22298,"1","Drivable road","2024-07-13T03:50:23.868876Z",26,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3078ecae59ee789fe9ce5ed1cfdbaeb3.jpg","",0.962,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, which is a significant depth that can pose significant risks to vehicles and pedestrians.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",1,1,"2024-07-13T03:50:23.868897Z"
22476,"1","Flooded road","2024-07-13T03:57:09.827083Z",27,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_42fc611456939ae09dcf4d3cebcd5e48.jpg","",0.81,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, which is evident from the depth of the water reaching the wheels of the vehicles and the submerged traffic cones.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a closed-off area.",1,1,"2024-07-13T03:57:09.827107Z"
22426,"1","Drivable road","2024-07-13T03:55:08.860850Z",28,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_60ad09e63a07e086ca0bfcc968d76b66.jpg","",0.842,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a barrier to prevent vehicles from entering the flooded area.",1,1,"2024-07-13T03:55:08.860870Z"
22499,"1","Flooded road","2024-07-13T03:57:55.128112Z",29,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7ad102eab7b44b7aa524dccd373053da.jpg","",0.89,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows a significant amount of standing water on the road, which appears to be more than a foot deep, as evidenced by the submerged vehicle and the depth of the water relative to the road's surface.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the visible reflections on the surface.",1,1,"2024-07-13T03:57:55.128132Z"
21768,"1","Drivable road","2024-07-13T03:31:30.367801Z",30,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a1916df11f4211764c4784cfe61a68d0.jpg","",2.087,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and pedestrians alike.","Yes, the street appears to be flooded, as evidenced by the water level reaching the wheels of the car and the pedestrian walking through the water.",1,1,"2024-07-13T03:31:30.367822Z"
22192,"1","Flooded road","2024-07-13T03:45:59.155673Z",31,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6f6a79b90c609f1e23e2697db7925816.jpg","",1.137,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant depth that can pose significant risks to vehicles and drivers.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",1,1,"2024-07-13T03:45:59.155692Z"
22466,"1","Drivable road","2024-07-13T03:56:52.362137Z",32,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_db042a6d1184241fac6843afc46435ab.jpg","",0.839,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image is not flooded. It appears to be a typical city street with vehicles and pedestrians, and there is no visible water accumulation on the road surface.",0,0,"2024-07-13T03:56:52.362160Z"
21815,"1","Drivable road","2024-07-13T03:33:35.710082Z",33,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e0dbf922a648ff5efffa741c71d1d0d5.jpg","",0.968,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation that would indicate flooding.",0,0,"2024-07-13T03:33:35.710102Z"
21558,"1","Drivable road","2024-07-13T03:21:50.971125Z",34,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f74f9d8dea8064c667589b29876aa901.jpg","",1.014,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The road surface is visible and there are no signs of water accumulation on the pavement.",0,0,"2024-07-13T03:21:50.971145Z"
22641,"1","Drivable road","2024-07-13T04:03:43.175501Z",35,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7cdee9f1b1c35627351c3e75caaa3247.jpg","",0.785,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the reflections on the wet surface.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers, which are typically used to manage floodwaters.",1,1,"2024-07-13T04:03:43.175522Z"
21791,"1","Drivable road","2024-07-13T03:32:28.853347Z",36,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_670737b1398dfee6c12287d001ca9bb3.jpg","",0.698,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and there are no signs of standing water that would indicate flooding.",0,0,"2024-07-13T03:32:28.853367Z"
22354,"1","Flooded road","2024-07-13T03:52:44.675530Z",37,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5a68426d1e545dcf46608bf84a6f7463.jpg","",0.871,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the visible waterline on the vehicles.",1,1,"2024-07-13T03:52:44.675550Z"
21341,"1","Flooded road","2024-07-13T03:13:20.495465Z",38,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_fb8940132c969e9ac46e3d57f9d1d947.jpg","",1.095,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the splashes created as they move through it.","Yes, the street is flooded, as evidenced by the water covering the road and the splashes around the vehicles.",1,1,"2024-07-13T03:13:20.495486Z"
22394,"1","Flooded road","2024-07-13T03:54:09.833687Z",39,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_be823cc70ca15305adf7c5fe2ac5157c.jpg","",1.142,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for drivers and can lead to dangerous driving conditions.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",1,1,"2024-07-13T03:54:09.833709Z"
21585,"1","Drivable road","2024-07-13T03:23:09.331112Z",40,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_263efdbd65df060a5f3754fd1e8fecdd.jpg","",24.474,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, indicating recent heavy rainfall or a flooding event.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a barricade to prevent vehicles from entering the affected area.",1,1,"2024-07-13T03:23:09.331133Z"
22547,"1","Flooded road","2024-07-13T03:59:56.382841Z",41,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4d3474029732c5097aa4527ed7e64984.jpg","",1.619,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires.",1,1,"2024-07-13T03:59:56.382874Z"
21921,"1","Flooded road","2024-07-13T03:36:53.198919Z",42,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_1765aab0cb70a326e20446fb629a8476.jpg","",1.068,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, which is causing significant disruption to traffic flow.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones indicating a hazardous area.",1,1,"2024-07-13T03:36:53.198940Z"
21878,"1","Drivable road","2024-07-13T03:35:40.548289Z",43,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_474b2af7efc654257b4135efeefe2db0.jpg","",2.382,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, which is evident from the depth of the water reaching the wheels of the vehicles and the fact that the water level is high enough to cover the lower parts of the pedestrian's legs.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",1,1,"2024-07-13T03:35:40.548309Z"
22045,"1","Drivable road","2024-07-13T03:40:48.362139Z",44,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3233c577512f11afb4b02ba63b1d9d3b.jpg","",5.745,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a traffic cone, which is typically used to warn drivers of hazardous conditions.",1,1,"2024-07-13T03:40:48.362159Z"
21673,"1","Drivable road","2024-07-13T03:27:58.514704Z",45,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_86f810c23febbaad97dc8d22f9aa33a7.jpg","",1.065,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water droplets on the windshield suggest recent rain, but the road surface is visible and dry.",0,0,"2024-07-13T03:27:58.514725Z"
21300,"1","Drivable road","2024-07-13T03:08:31.838468Z",46,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bf26e49b0978b4ecac201317f3965d91.jpg","",1.263,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the streets, indicating significant flooding.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the reflections on the surface.",1,1,"2024-07-13T03:08:31.838488Z"
21698,"1","Flooded road","2024-07-13T03:28:40.761453Z",47,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_61cfa1225d72c83e5fd4a988f9871755.jpg","",1.095,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers, indicating a response to the flooding.",1,1,"2024-07-13T03:28:40.761475Z"
22689,"1","Flooded road","2024-07-13T04:06:09.628213Z",48,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f2581baf68f41ee5292762eb46cd09c2.jpg","",0.932,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",1,1,"2024-07-13T04:06:09.628232Z"
22615,"1","Drivable road","2024-07-13T04:02:37.168852Z",49,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bc5f41dd3d09b1c5800a51a41a92c894.jpg","",0.867,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the road, which is a significant depth that can pose significant risks to vehicles and pedestrians.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of a 'Deep Water' warning sign.",1,1,"2024-07-13T04:02:37.168873Z"
21638,"1","Flooded road","2024-07-13T03:26:40.840889Z",50,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_02b31804c0eace646f72e6bcfe31f0b3.jpg","",0.87,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water covering the street, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street in the image is flooded, with water reaching up to the wheels of the cars.",1,1,"2024-07-13T03:26:40.840909Z"
22411,"1","Drivable road","2024-07-13T03:54:37.912625Z",51,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2e8c4bf894fa6d34409c90894e189e82.jpg","",0.882,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","No, the image does not show more than a foot of standing water.","No, the street in the image does not appear to be flooded. The water on the road is likely due to recent rainfall, and the vehicles are driving on the wet surface without any visible signs of water accumulation that would indicate flooding.",0,0,"2024-07-13T03:54:37.912646Z"
22639,"1","Drivable road","2024-07-13T04:03:39.363381Z",52,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3af5da3696b40e0c7b415ff75c28ce9c.jpg","",1.135,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image appears to be flooded, likely due to heavy rainfall. The water level is high enough to cover the lower parts of the stop sign and the road itself, indicating that the drainage system is overwhelmed.",1,1,"2024-07-13T04:03:39.363402Z"
21575,"1","Drivable road","2024-07-13T03:22:25.678137Z",53,"/data/local-files/?d=/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_da1d7c0bbc83f387e41ce6ab1f753a3f.jpg","",2.798,"Does this image show more than a foot of standing water?","Is the street in this image flooded?","Yes, the image clearly shows more than a foot of standing water on the street, which is evident from the depth of the water reaching the wheels of the vehicles and the submerged traffic cones.","Yes, the street in the image is flooded, as evidenced by the presence of water on the road and the use of traffic cones and barriers to redirect traffic.",1,1,"2024-07-13T03:22:25.678158Z"
