,image_path,q1,q2,response_1,response_2,Unnamed: 0.1,sentiment_1,sentiment_2,frame_id,,frame_url,camera_heading,captured_at,timezone_offset,h3_index_res12,thumbnail_url,direction,frame_quality,frame_context,gps_info.longitude,gps_info.latitude,osm_info.osm_node_id_from,osm_info.osm_node_id_to,osm_info.road_type,h3_12,h3_index_res06,geometry,choice,pred,tp,fp,tn,fn
19064,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3a59e76411ca2fc5c90741a0ca905ae0.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the cars and the fact that the water level is higher than the wheels of the car in the foreground.","Yes, the street is flooded, as evidenced by the water covering the road and the reflections of the vehicles on the wet surface.",,1,1,nlbx_3a59e76411ca2fc5c90741a0ca905ae0,4427,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/8c158/fod_623568CA-E884-486D-A172-FD5B8DCCF049.jpg,333.75,1695994280171,-14400,631243923147514367,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/8c158/fod_623568CA-E884-486D-A172-FD5B8DCCF049.jpg,NORTH_WEST,0.7679388523101807,DAYLIGHT,-73.774814,40.717654,9910734566,42806932,TERTIARY,6.312439231475144e+17,604222325419671551,POINT (1046673.2254245364 200817.74706693005),1.0,1.0,1.0,0.0,0.0,0.0
20547,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_00ebaebcd038856b38a9e4dee56b9a7d.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street is flooded, as evidenced by the water covering the road and the visible waterline on the vehicles.",,1,1,nlbx_00ebaebcd038856b38a9e4dee56b9a7d,44182,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/1a2cc/fod_7511E341-7532-4756-AFD1-29944339E7C9.jpg,350.5,1695997224389,-14400,631243922070690815,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/1a2cc/fod_7511E341-7532-4756-AFD1-29944339E7C9.jpg,NORTH,0.7287744283676147,DAYLIGHT,-73.873579,40.831472,6215332619,6215332604,MOTORWAY,6.312439220706908e+17,604222324345929727,POINT (1019234.9670007512 242230.39214617468),1.0,1.0,1.0,0.0,0.0,0.0
24095,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ebf462de9394fcb8c320ef0bfadf2a93.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding conditions.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles driving through it.",,1,1,nlbx_ebf462de9394fcb8c320ef0bfadf2a93,3908,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/28423/fod_E5946454-999D-4F21-900C-ADFEF8E621DD.jpg,151.5771484375,1696003500051,-14400,631243920555492863,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/28423/fod_E5946454-999D-4F21-900C-ADFEF8E621DD.jpg,SOUTH_EAST,0.6126666069030762,DAYLIGHT,-73.769996,40.731492,9826103739,42868433,PRIMARY,6.312439205554929e+17,604222322869534719,POINT (1047995.5681399081 205862.81575047298),1.0,1.0,1.0,0.0,0.0,0.0
24919,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_227885de9e8bdf2ebb2f95802c8f64eb.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the roadway and the reflections on the surface.",,1,1,nlbx_227885de9e8bdf2ebb2f95802c8f64eb,33215,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/e276f/fod_5EF20E4B-4A21-4DEE-A103-D26147E09CE3.jpg,342.25,1696003620638,-14400,631243921467770367,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/e276f/fod_5EF20E4B-4A21-4DEE-A103-D26147E09CE3.jpg,NORTH,0.7424798607826233,DAYLIGHT,-73.942957,40.778265,9178967033,371198770,MOTORWAY,6.312439214677704e+17,604222323809058815,POINT (1000048.3168391968 222825.10681962164),1.0,1.0,1.0,0.0,0.0,0.0
35630,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b066d39da241033e294ddc4688be27aa.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the splashes visible around the vehicles.",,1,1,nlbx_b066d39da241033e294ddc4688be27aa,2592,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/6ae05/fod_4AF53B40-F169-4078-899E-A16BA84B5286.jpg,101.96907806396484,1695992363390,-14400,631243923205614591,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/6ae05/fod_4AF53B40-F169-4078-899E-A16BA84B5286.jpg,EAST,0.7700977325439453,DAYLIGHT,-73.898929,40.766925,9179209312,9179209313,SECONDARY,6.312439232056146e+17,604222325553889279,POINT (1012246.8940355707 218704.6006525897),1.0,1.0,1.0,0.0,0.0,0.0
36856,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_65ecdf42da3778f2a5d19e9f09d17c07.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water level reaching the wheels of the vehicles and the presence of a traffic barrier indicating a closed road.",,1,1,nlbx_65ecdf42da3778f2a5d19e9f09d17c07,21048,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/c1ef3/fod_58255043-B6CA-47C5-BFC8-EB5D3BA37481.jpg,81.125,1696006908427,-14400,631243951185723903,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/c1ef3/fod_58255043-B6CA-47C5-BFC8-EB5D3BA37481.jpg,EAST,0.6319355964660645,DAYLIGHT,-73.972094,40.650674,42484453,5181604813,SECONDARY,6.312439511857239e+17,604222353471176703,POINT (991993.5242497128 176335.84611623248),1.0,1.0,1.0,0.0,0.0,0.0
41205,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f7ed7c8a22d9aa796ddce34420bfe970.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",,1,1,nlbx_f7ed7c8a22d9aa796ddce34420bfe970,30538,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/9b74f/fod_A382126A-8817-4353-A6B6-003B5422659D.jpg,218.125,1695991149636,-14400,631243950301256191,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/9b74f/fod_A382126A-8817-4353-A6B6-003B5422659D.jpg,SOUTH_WEST,0.8070563077926636,DAYLIGHT,-73.988873,40.599756,42472504,5488204046,RESIDENTIAL,6.312439503012562e+17,604222352665870335,POINT (987339.9691864423 157783.98214000615),1.0,1.0,1.0,0.0,0.0,0.0
41476,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_476be2f7b42f9ecab85d3feb0741a24e.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the fact that the water level is higher than the wheels of the cars.","Yes, the street is flooded, as evidenced by the water level reaching the wheels of the cars and the presence of a partially submerged traffic sign.",,1,1,nlbx_476be2f7b42f9ecab85d3feb0741a24e,34378,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d31a2/fod_68493DD7-6DA3-4390-9EBC-52D12160594A.jpg,158.375,1696000681543,-14400,631243923289320447,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d31a2/fod_68493DD7-6DA3-4390-9EBC-52D12160594A.jpg,SOUTH,0.7421272993087769,DAYLIGHT,-73.929981,40.800402,3786728822,371225088,MOTORWAY_LINK,6.312439232893204e+17,604222325553889279,POINT (1003635.6469581034 230892.97047940362),1.0,1.0,1.0,0.0,0.0,0.0
42329,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_06c3aac3fbcdb9148b7f1eae64d59b2f.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water level reaching the wheels of the car and the presence of puddles and standing water on the road.",,1,1,nlbx_06c3aac3fbcdb9148b7f1eae64d59b2f,22436,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/301c6/fod_D04593E8-EDBE-4535-B564-45BB503A049D.jpg,27.89337118428187,1695993530480,-14400,631243922727296511,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/301c6/fod_D04593E8-EDBE-4535-B564-45BB503A049D.jpg,NORTH_EAST,0.850443959236145,DAYLIGHT,-73.949195,40.768444,3785454972,3785454973,MOTORWAY,6.312439227272965e+17,604222325017018367,POINT (998322.7421383044 219245.92937576887),1.0,1.0,1.0,0.0,0.0,0.0
44168,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_80c032cc9d51baa0201029881596ae90.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones indicating a hazardous condition.",,1,1,nlbx_80c032cc9d51baa0201029881596ae90,3091,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b210b/fod_D34506B9-76E6-49BB-8005-2D00345E2E1E.jpg,183.0,1695993435583,-14400,631243935090861567,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b210b/fod_D34506B9-76E6-49BB-8005-2D00345E2E1E.jpg,SOUTH,0.7786588668823242,DAYLIGHT,-73.746531,40.652808,7773558858,42921153,TERTIARY,6.312439350908616e+17,604222337365049343,POINT (1054581.8378827109 177213.9879052536),1.0,1.0,1.0,0.0,0.0,0.0
47863,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_30b11fa986f8cd38a6abbef9f322b58b.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the visible reflections on the surface.",,1,1,nlbx_30b11fa986f8cd38a6abbef9f322b58b,46983,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/8a5a0/fod_D1DAD7B2-491F-4EC1-B2CA-C98CAFEAF8A6.jpg,240.55455017089844,1696013690689,-14400,631243922733290495,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/8a5a0/fod_D1DAD7B2-491F-4EC1-B2CA-C98CAFEAF8A6.jpg,SOUTH_WEST,0.6526167392730713,DAYLIGHT,-73.922397,40.732985,9194885976,9194885975,MOTORWAY_LINK,6.312439227332905e+17,604222325017018367,POINT (1005757.154234051 206332.5327480838),1.0,1.0,1.0,0.0,0.0,0.0
48683,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3c82b98870e027e0a5566f91704e5729.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",,1,1,nlbx_3c82b98870e027e0a5566f91704e5729,986,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/ff23d/fod_D46FC1D4-B599-4C9F-A99A-AA6DA3C607DC.jpg,260.43511962890625,1695986928019,-14400,631243934225526271,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/ff23d/fod_D46FC1D4-B599-4C9F-A99A-AA6DA3C607DC.jpg,WEST,0.8190163373947144,DAYLIGHT,-73.801988,40.590829,5123193548,42883892,PRIMARY,6.312439342255263e+17,604222336559742975,POINT (1039244.8810362471 154593.7525704476),1.0,1.0,1.0,0.0,0.0,0.0
55094,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_63af752fd7869da494d4727eaa563158.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_63af752fd7869da494d4727eaa563158,15742,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b4ddd/fod_FF003ED2-1D26-4DE4-B55E-B5DD9CF0E16F.jpg,180.9389495849609,1695990112530,-14400,631243950325884927,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b4ddd/fod_FF003ED2-1D26-4DE4-B55E-B5DD9CF0E16F.jpg,SOUTH,0.8553524017333984,DAYLIGHT,-73.97453,40.583301,1773303233,7968905579,SECONDARY,6.312439503258849e+17,604222352665870335,POINT (991324.7458153826 151789.84135254656),1.0,1.0,1.0,0.0,0.0,0.0
58387,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bbbd1390be03a0d57844bb63b2c1c357.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the street, indicating significant flooding.","Yes, the street in the image is flooded, with water covering the road and reaching the wheels of the cars parked along the side.",,1,1,nlbx_bbbd1390be03a0d57844bb63b2c1c357,8311,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/fdb7e/fod_941AFF9D-110C-4079-A4B6-DA818C071C1A.jpg,259.0,1695990187307,-14400,631243950307202559,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/fdb7e/fod_941AFF9D-110C-4079-A4B6-DA818C071C1A.jpg,WEST,0.732123851776123,DAYLIGHT,-73.972361,40.58815,9784543401,8417439824,RESIDENTIAL,6.312439503072026e+17,604222352665870335,POINT (991926.6609116691 153556.64139413668),1.0,1.0,1.0,0.0,0.0,0.0
59911,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_109d5e9f6d11aaa46446ffa6f6913744.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is causing significant disruption to the traffic flow.","Yes, the street is flooded, as evidenced by the water covering the road and the splashes from the vehicles' tires.",,1,1,nlbx_109d5e9f6d11aaa46446ffa6f6913744,48041,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/35dd3/fod_FBB9A472-EE79-47F4-896A-74825B565BB1.jpg,103.06680297851562,1695999070998,-14400,631243923137378303,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/35dd3/fod_FBB9A472-EE79-47F4-896A-74825B565BB1.jpg,EAST,0.8711514472961426,DAYLIGHT,-73.775878,40.705391,5488146402,5488146404,SECONDARY,6.312439231373783e+17,604222325419671551,POINT (1046389.7109200129 196349.22022415948),1.0,1.0,1.0,0.0,0.0,0.0
61832,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b6cc831fb9b753d2e624b4c1fbd45a38.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the fact that the water level is higher than the tires of the school buses.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires being partially submerged.",,1,1,nlbx_b6cc831fb9b753d2e624b4c1fbd45a38,9677,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/812ab/fod_BEB01E3F-0845-4B3F-A3B1-49900A7AF64E.jpg,24.09375,1696000279801,-14400,631243919537531903,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/812ab/fod_BEB01E3F-0845-4B3F-A3B1-49900A7AF64E.jpg,NORTH_EAST,0.7386595606803894,DAYLIGHT,-73.866536,40.889773,6860093633,777172524,SECONDARY,6.312439195375319e+17,604222321795792895,POINT (1021151.633771574 263474.5364962503),1.0,1.0,1.0,0.0,0.0,0.0
70206,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_809544fd7fc4611b1b8c4aa5e9c37543.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the streets, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_809544fd7fc4611b1b8c4aa5e9c37543,21165,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/c871b/fod_744FBE8E-844D-4E14-BFCA-F49AC345AF4F.jpg,261.3642578125,1695995323159,-14400,631243950346556415,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/c871b/fod_744FBE8E-844D-4E14-BFCA-F49AC345AF4F.jpg,WEST,0.7418614029884338,DAYLIGHT,-73.994694,40.572904,7453242895,7765310997,SECONDARY,6.312439503465564e+17,604222352665870335,POINT (985724.0988589575 148000.94796099982),1.0,1.0,1.0,0.0,0.0,0.0
