"annotation_id","annotator","answer","choice","created_at","id","image","labels","lead_time","sentiment_1","updated_at"
30419,"1","Yes,","Not Flooded","2025-02-10T19:26:50.166481Z",21,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2eb4cfd1172f4638c53cfb3f8a567ae4.jpg","",1.169,1,"2025-02-10T19:26:50.166503Z"
30691,"1","No,","Not Flooded","2025-02-10T19:35:11.244724Z",22,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8450ee4c6469134bda31f3cc34e66a7a.jpg","",0.694,0,"2025-02-10T19:35:11.244745Z"
30438,"1","No,","Not Flooded","2025-02-10T19:27:26.010414Z",24,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_553d4a379749e699e5b2194cf016a9a3.jpg","",0.979,0,"2025-02-10T19:27:26.010435Z"
28628,"1","Yes,","Flooded","2025-02-03T22:21:11.719820Z",25,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b8c163fa25e560710d5e67463b3b2d7d.jpg","",1.353,1,"2025-02-03T22:21:11.719841Z"
30455,"1","Yes,","Not Flooded","2025-02-10T19:27:53.998725Z",26,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9dd4aade761b516930062f439a295ad3.jpg","",0.925,1,"2025-02-10T19:27:53.998745Z"
28621,"1","Yes,","Not Flooded","2025-02-03T22:20:58.682366Z",28,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9a1afbb511db41f4c82a0493c2b3ac63.jpg","",1.362,1,"2025-02-03T22:20:58.682390Z"
30617,"1","Yes,","Not Flooded","2025-02-10T19:33:04.814816Z",31,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4e261834554ec60f9949d707e2ce30db.jpg","",1.206,1,"2025-02-10T19:33:04.814836Z"
28616,"1","No,","Not Flooded","2025-02-03T22:20:42.627201Z",32,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_1e078efaf508c0c3fee5cf57516a6e44.jpg","",4.08,0,"2025-02-03T22:20:42.627226Z"
30589,"1","Yes,","Not Flooded","2025-02-10T19:32:19.111482Z",36,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_94b3ac9aae8200bf7ba0ac9add166b3d.jpg","",0.938,1,"2025-02-10T19:32:19.111502Z"
30562,"1","No,","Not Flooded","2025-02-10T19:31:38.637522Z",38,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7d5bbfe07d517cf47d3bc8fe3003ea40.jpg","",1.084,0,"2025-02-10T19:31:38.637543Z"
28681,"1","Yes,","Not Flooded","2025-02-03T22:22:46.927904Z",40,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_06b8458cadf4517170e42dbb4b31aa84.jpg","",1.117,1,"2025-02-03T22:22:46.927930Z"
30613,"1","No,","Not Flooded","2025-02-10T19:32:57.902394Z",49,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_19c8fa38cd48598579c4a840f98c9a46.jpg","",1.01,0,"2025-02-10T19:32:57.902414Z"
29794,"1","Yes,","Not Flooded","2025-02-09T18:34:23.548754Z",54,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f5a41b536b879324110ed4ebc59d26e2.jpg","",0.827,1,"2025-02-09T18:34:23.548774Z"
30549,"1","Yes,","Not Flooded","2025-02-10T19:31:16.912414Z",55,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b80cd32415a91ffe451bf5c7f7eef8f2.jpg","",1.168,1,"2025-02-10T19:31:16.912436Z"
30520,"1","No,","Not Flooded","2025-02-10T19:30:29.044975Z",56,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c2af62454e34080889e2a3832d68f7e7.jpg","",1.155,0,"2025-02-10T19:30:29.044996Z"
30665,"1","No,","Not Flooded","2025-02-10T19:34:31.329277Z",61,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_90a13719b8bb9add37fffc3b41e0600a.jpg","",0.767,0,"2025-02-10T19:34:31.329297Z"
30618,"1","Yes,","Not Flooded","2025-02-10T19:33:09.690240Z",62,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3f741a900e48f8d24d3acd32c3f67359.jpg","",1.141,1,"2025-02-10T19:33:09.690261Z"
30679,"1","No,","Not Flooded","2025-02-10T19:34:51.785606Z",67,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e5835058ee1d9edcbd18ecde309d8693.jpg","",0.81,0,"2025-02-10T19:34:51.785628Z"
29860,"1","Yes,","Not Flooded","2025-02-09T18:36:02.704326Z",71,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_197d00477bc44657ac20fc045313fe27.jpg","",1.047,1,"2025-02-09T18:36:02.704346Z"
28640,"1","No,","Not Flooded","2025-02-03T22:21:35.415199Z",73,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_91df744922cd3a35d1ae280e3ad1acd4.jpg","",1.097,0,"2025-02-03T22:21:35.415225Z"
30577,"1","Yes,","Not Flooded","2025-02-10T19:32:00.474121Z",77,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bb95d0406ea81677e262cbf9636b6917.jpg","",0.849,1,"2025-02-10T19:32:00.474142Z"
29856,"1","Yes,","Flooded","2025-02-09T18:35:53.498743Z",79,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7c7e9dfb9e8a975855aca9bc3381c060.jpg","",1.125,1,"2025-02-09T18:35:53.498763Z"
30586,"1","No,","Not Flooded","2025-02-10T19:32:14.714578Z",80,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f08cdd139289eddf707debc3f54e30aa.jpg","",1.223,0,"2025-02-10T19:32:14.714598Z"
30466,"1","Yes,","Flooded","2025-02-10T19:28:11.053358Z",82,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_88c14cce3cd2ad3be2a7f691ea1d0298.jpg","",1.95,1,"2025-02-10T19:28:11.053384Z"
30412,"1","Yes,","Not Flooded","2025-02-10T19:26:28.765348Z",83,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_86002bd11b98108475c4750b32ab2290.jpg","",1.044,1,"2025-02-10T19:26:28.765369Z"
28624,"1","Yes,","Not Flooded","2025-02-03T22:21:04.234783Z",84,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_85b1a32ffa8ab2c130e122db13d0d380.jpg","",1.173,1,"2025-02-03T22:21:04.234805Z"
28617,"1","Yes,","Flooded","2025-02-03T22:20:50.929662Z",86,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_cef7be60522f69d789bd551dd7c8ce52.jpg","",7.939,1,"2025-02-03T22:20:50.929692Z"
30418,"1","Yes,","Flooded","2025-02-10T19:26:48.515667Z",87,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5290c9df91f013c03c18d694c63a39ac.jpg","",11.821,1,"2025-02-10T19:26:48.515688Z"
29824,"1","No,","Not Flooded","2025-02-09T18:35:06.521061Z",91,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f2de218359a10007e69e42b7a3c4ff19.jpg","",0.841,0,"2025-02-09T18:35:06.521081Z"
28651,"1","No,","Not Flooded","2025-02-03T22:21:50.487401Z",92,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6bcdb46a54246101059ed691c371ef04.jpg","",1.406,0,"2025-02-03T22:21:50.487423Z"
29861,"1","Yes,","Not Flooded","2025-02-09T18:36:04.195014Z",94,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_851ecd96f5b16f43c7b6b04062014364.jpg","",1.013,1,"2025-02-09T18:36:04.195034Z"
30542,"1","Yes,","Not Flooded","2025-02-10T19:31:06.173052Z",97,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9aca5785167d3f887b39c135f07495f9.jpg","",1.033,1,"2025-02-10T19:31:06.173072Z"
30571,"1","Yes,","Not Flooded","2025-02-10T19:31:51.881915Z",98,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6fcb971b7a8a2db73fe2193c9cb42295.jpg","",1.013,1,"2025-02-10T19:31:51.881936Z"
30432,"1","Yes,","Not Flooded","2025-02-10T19:27:15.483289Z",102,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9e8af3d757139c5967b37bc756166ca6.jpg","",1.008,1,"2025-02-10T19:27:15.483309Z"
30625,"1","No,","Not Flooded","2025-02-10T19:33:31.312974Z",103,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6b7f2f11276640091b87d6fe5ce4418f.jpg","",0.938,0,"2025-02-10T19:33:31.312994Z"
30397,"1","Yes,","Not Flooded","2025-02-10T19:24:47.540589Z",105,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_580f7cf99591824129d519257054450d.jpg","",1.105,1,"2025-02-10T19:24:47.540609Z"
28642,"1","No,","Not Flooded","2025-02-03T22:21:37.910138Z",107,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_179db22eab17e625696752ba8398aa44.jpg","",0.847,0,"2025-02-03T22:21:37.910165Z"
30401,"1","No,","Not Flooded","2025-02-10T19:26:08.988305Z",109,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8720c395481e4ce4542d144a00327876.jpg","",1.077,0,"2025-02-10T19:26:08.988325Z"
29837,"1","Yes,","Flooded","2025-02-09T18:35:25.032302Z",111,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_159c8dc9a26bd59be0035cd12341652c.jpg","",1.612,1,"2025-02-09T18:35:25.032322Z"
29868,"1","No,","Not Flooded","2025-02-09T18:36:15.121609Z",112,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b2e93cdbc9ead0a83cdabb092e255218.jpg","",1.118,0,"2025-02-09T18:36:15.121629Z"
30644,"1","Yes,","Flooded","2025-02-10T19:33:59.646970Z",114,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c166ae0fb9f9db90756979771e851975.jpg","",1.169,1,"2025-02-10T19:33:59.647003Z"
28599,"1","No,","Flooded","2025-02-03T22:19:54.288074Z",115,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_78d0992acc1c1ad33e97953f219082ec.jpg","",3.089,0,"2025-02-03T22:19:54.288098Z"
30639,"1","No,","Not Flooded","2025-02-10T19:33:52.211414Z",117,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ad782f722cc011548262ba53ab176328.jpg","",1.001,0,"2025-02-10T19:33:52.211435Z"
30435,"1","Yes,","Not Flooded","2025-02-10T19:27:20.502732Z",119,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9fc2f18ba1b21daf8f05e869738ed216.jpg","",1.61,1,"2025-02-10T19:27:20.502753Z"
30582,"1","Yes,","Flooded","2025-02-10T19:32:08.207333Z",120,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_57d996a0cbf95e026ac59984df0196b8.jpg","",1.724,1,"2025-02-10T19:32:08.207354Z"
29846,"1","Yes,","Flooded","2025-02-09T18:35:38.555343Z",125,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_939488e6bd1a575b0a06a97da13075af.jpg","",1.503,1,"2025-02-09T18:35:38.555363Z"
30604,"1","Yes,","Not Flooded","2025-02-10T19:32:44.139351Z",126,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4a6f645b57c4d5c7fd1dd5e08f1275f6.jpg","",1.413,1,"2025-02-10T19:32:44.139372Z"
29865,"1","No,","Not Flooded","2025-02-09T18:36:09.986795Z",127,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_113504168877a6dbacb3a515630c4ea5.jpg","",0.829,0,"2025-02-09T18:36:09.986814Z"
30609,"1","No,","Not Flooded","2025-02-10T19:32:52.163526Z",128,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4ad5dc635473f5f98c03e65a27999879.jpg","",1.019,0,"2025-02-10T19:32:52.163546Z"
28646,"1","Yes,","Not Flooded","2025-02-03T22:21:43.289431Z",129,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_18f31a54a8d97e717efd2714ad69d37c.jpg","",1.088,1,"2025-02-03T22:21:43.289458Z"
28676,"1","Yes,","Not Flooded","2025-02-03T22:22:39.522750Z",131,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_935f46aef28397a696b6ff4c71b09807.jpg","",1.021,1,"2025-02-03T22:22:39.522772Z"
30552,"1","Yes,","Not Flooded","2025-02-10T19:31:22.209156Z",134,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5e3b83332fac0ebbb59c2d4cee60bae4.jpg","",1.029,1,"2025-02-10T19:31:22.209177Z"
30416,"1","No,","Not Flooded","2025-02-10T19:26:34.756238Z",135,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2e8ef3e4dab324797d1e39eac370e556.jpg","",1.084,0,"2025-02-10T19:26:34.756258Z"
30675,"1","Yes,","Not Flooded","2025-02-10T19:34:46.453341Z",136,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8e86c0d6ad74cd04b504096a805d0e77.jpg","",0.903,1,"2025-02-10T19:34:46.453361Z"
30529,"1","No,","Not Flooded","2025-02-10T19:30:43.672108Z",138,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ba49be006d4fc6eab1c1f7635443307e.jpg","",1.118,0,"2025-02-10T19:30:43.672130Z"
29773,"1","No,","Not Flooded","2025-02-09T18:33:55.422286Z",140,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d62e94a12a7c357e9a4b682dc1767ab8.jpg","",0.833,0,"2025-02-09T18:33:55.422307Z"
28674,"1","No,","Not Flooded","2025-02-03T22:22:30.382845Z",141,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_14020ed3233282b7af29128ebb1f2979.jpg","",1.566,0,"2025-02-03T22:22:30.382873Z"
29828,"1","Yes,","Flooded","2025-02-09T18:35:12.557799Z",143,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_42a1456fbf65c8261539997b92135511.jpg","",1.493,1,"2025-02-09T18:35:12.557819Z"
30585,"1","Yes,","Not Flooded","2025-02-10T19:32:12.996649Z",146,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_51495b84345c382ee93f33908bab50c1.jpg","",1.027,1,"2025-02-10T19:32:12.996669Z"
29851,"1","No,","Not Flooded","2025-02-09T18:35:45.348293Z",147,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6a92383d4fc47b11cddca116d93cfc06.jpg","",0.768,0,"2025-02-09T18:35:45.348313Z"
28604,"1","No,","Not Flooded","2025-02-03T22:20:02.961039Z",149,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_476f899930b75597bd05d260a71575be.jpg","",1.425,0,"2025-02-03T22:20:02.961062Z"
30411,"1","Yes,","Not Flooded","2025-02-10T19:26:27.251741Z",152,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f53554b1fd7e0e74c61e7387dfe1d22e.jpg","",1.031,1,"2025-02-10T19:26:27.251763Z"
28625,"1","Yes,","Flooded","2025-02-03T22:21:05.829974Z",154,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_473c40db02d05412e98ee06d105d3a1e.jpg","",1.234,1,"2025-02-03T22:21:05.829996Z"
30616,"1","Yes,","Flooded","2025-02-10T19:33:03.124693Z",156,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7e649f5cbe345f382432fe11c2ea5e8a.jpg","",1.134,1,"2025-02-10T19:33:03.124713Z"
29800,"1","No,","Not Flooded","2025-02-09T18:34:31.719298Z",158,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_31980d48a20500b5cb6df0e857dc34d4.jpg","",0.999,0,"2025-02-09T18:34:31.719319Z"
30646,"1","No,","Not Flooded","2025-02-10T19:34:02.561352Z",159,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c6621260e98420a4cc0b7ddae657f8c6.jpg","",0.933,0,"2025-02-10T19:34:02.561372Z"
30551,"1","No,","Not Flooded","2025-02-10T19:31:20.694918Z",161,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2719f6b08a4841cf5a5f52957b0f4951.jpg","",1.85,0,"2025-02-10T19:31:20.694941Z"
29835,"1","Yes,","Not Flooded","2025-02-09T18:35:21.711834Z",162,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2b4a2ff84cc5b17bdc2d29e99c4617e0.jpg","",0.863,1,"2025-02-09T18:35:21.711854Z"
30587,"1","No,","Not Flooded","2025-02-10T19:32:16.175384Z",165,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5fec2af93a66725b23a7a30285f0485b.jpg","",0.976,0,"2025-02-10T19:32:16.175404Z"
29798,"1","No,","Not Flooded","2025-02-09T18:34:29.070106Z",167,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6c23e44ce7272d254cd8182eeded64d7.jpg","",0.881,0,"2025-02-09T18:34:29.070126Z"
28585,"1","No,","Not Flooded","2025-02-03T22:18:57.994300Z",169,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_58e59f772eb4513d7df39eef5a34cd83.jpg","",9.509,0,"2025-02-03T22:18:57.994322Z"
30590,"1","Yes,","Not Flooded","2025-02-10T19:32:20.675108Z",170,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e39a3c9d114baba8749b35430a7a2396.jpg","",1.07,1,"2025-02-10T19:32:20.675128Z"
29768,"1","Yes,","Not Flooded","2025-02-09T18:33:48.563372Z",171,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6cd18288f5ed591a53964703837efa1e.jpg","",0.953,1,"2025-02-09T18:33:48.563392Z"
30655,"1","Yes,","Not Flooded","2025-02-10T19:34:15.339778Z",172,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_98bde806ac44d6de3f302a96a7815b64.jpg","",1.017,1,"2025-02-10T19:34:15.339800Z"
30500,"1","No,","Not Flooded","2025-02-10T19:29:13.558605Z",173,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7c74e04962cd9067bb7f50341428846b.jpg","",1.38,0,"2025-02-10T19:29:13.558625Z"
30624,"1","Yes,","Not Flooded","2025-02-10T19:33:29.894866Z",174,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b49d41b055e05ba5da576c211e9d8149.jpg","",0.938,1,"2025-02-10T19:33:29.894887Z"
28683,"1","Yes,","Not Flooded","2025-02-03T22:22:51.445802Z",175,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_da0acadac5d0d2163f35ac47c596c72b.jpg","",2.738,1,"2025-02-03T22:22:51.445824Z"
30490,"1","Yes,","Not Flooded","2025-02-10T19:28:58.373591Z",177,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_407c37e9e91daded17dcfe94d6c7b164.jpg","",0.997,1,"2025-02-10T19:28:58.373612Z"
28657,"1","Yes,","Not Flooded","2025-02-03T22:22:05.121125Z",178,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0ed3d73d717c9a575e4f73cd8dd1718b.jpg","",2.627,1,"2025-02-03T22:22:05.121149Z"
29826,"1","Yes,","Not Flooded","2025-02-09T18:35:09.282277Z",180,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_58cf4b267f0cef0d2e1411593c966b90.jpg","",0.959,1,"2025-02-09T18:35:09.282297Z"
30650,"1","No,","Not Flooded","2025-02-10T19:34:08.048430Z",183,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a2537c08bc49390b3ae999889eb07616.jpg","",0.933,0,"2025-02-10T19:34:08.048451Z"
30433,"1","Yes,","Not Flooded","2025-02-10T19:27:16.971827Z",185,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b8a4edad4357df168cd9e9957b281669.jpg","",0.998,1,"2025-02-10T19:27:16.971849Z"
30503,"1","Yes,","Flooded","2025-02-10T19:29:19.069781Z",186,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a27efea23dedc301c0c37f0594105dd7.jpg","",1.16,1,"2025-02-10T19:29:19.069802Z"
29839,"1","No,","Not Flooded","2025-02-09T18:35:28.117072Z",187,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6af817b92f9bfb494aea257034f3c55e.jpg","",1.1,0,"2025-02-09T18:35:28.117092Z"
29817,"1","Yes,","Not Flooded","2025-02-09T18:34:56.351074Z",189,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_90063fdd5ded6d32988aa77e582fca20.jpg","",0.953,1,"2025-02-09T18:34:56.351094Z"
29772,"1","No,","Not Flooded","2025-02-09T18:33:54.139901Z",191,"/data/local-files/?d=/share/XXXX-19/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_ab9c29813ecad129e003d477dbfd1b8e.jpg","",0.885,0,"2025-02-09T18:33:54.139920Z"
